Population,Sample_ID_old,Sample_ID,Pop_Plant,Flower_ID,Type,Date,M.Corolla_D1,M.Corolla_D2,M.Tube_Flare,M.Stamen_Length,M.Style_Length,M.Hypanthium_Length,M.Pedicel_Length,M.Leaf_Number,M.Leaf_Length,M.Nectar_Column,M.Percent_Sugar,Fresh_Mass,Dry_Mass
Arizona,rm2-13,Samp.rm2-13-A,rm2-13,1,Yes,1-Jun-09,78.20,77.67,9.31,22.97,29.79,126.87,1.04,24,170.26,81.15,,2.39,0.27
Arizona,rm2-13,Samp.rm2-13-B,rm2-13,2,No,9-Jun-09,81.51,86.45,8.70,30.43,24.14,142.15,2.00,30,,123,27.0,2.75,0.17
Arizona,rm2-13,Samp.rm2-13-C,rm2-13,3,No,22-Jun-09,,,,,,,,,,,,,
Arizona,rm2-13b,Samp.rm2-13-D,rm2-13,4,No,22-Jun-09,88.90,90.65,10.80,29.23,22.81,163.50,6.18,41,231.00,124,27.0,3.25,0.30
Arizona,rm2-15,Samp.rm2-15-A,rm2-15,1,Yes,27-May-09,71.51,74.28,8.08,25.79,27.79,135.69,8.79,28,273.51,90.98,20.5,2.42,
Arizona,rm2-15,Samp.rm2-15-B,rm2-15,2,No,17-Jun-09,81.18,82.13,7.58,33.80,25.11,129.80,15.48,43,313.00,145,18.5,2.62,0.24
Arizona,rm2-15,Samp.rm2-15-C,rm2-15,3,No,28-Jun-09,74.31,76.56,7.24,35.21,27.45,152.38,18.39,,,163,22.0,2.33,0.20
Arizona,rm2-16,Samp.rm2-16-A,rm2-16,1,Yes,21-May-09,81.00,84.83,9.77,19.47,23.82,124.07,,39,289.41,41.66,22.0,2.25,
Arizona,rm2-16,Samp.rm2-16-B,rm2-16,2,No,1-Jun-09,83.62,84.35,9.31,19.07,23.46,131.12,15.74,27,269.00,116.36,,2.23,0.22
Arizona,mr2-16,Samp.mr2-16-C,mr2-16,3,No,22-Jun-09,83.86,84.77,8.82,25.27,18.37,135.52,9.36,36,257.00,42,24.0,2.35,0.23
Arizona,rm2-16,Samp.rm2-16-D,rm2-16,4,No,29-Jun-09,82.99,79.50,8.16,23.99,17.78,132.75,8.56,,,140,26.0,2.24,0.20
Arizona,rm2-17,Samp.rm2-17-A,rm2-17,1,Yes,9-Jun-09,74.99,74.23,7.92,26.61,29.66,134.84,14.70,26,241.00,0,,2.23,0.23
Arizona,rm2-17,Samp.rm2-17-B,rm2-17,2,No,22-Jun-09,86.52,86.94,8.49,31.50,24.82,150.09,12.42,34,274.00,126,21.5,2.89,0.28
Arizona,rm2-17,Samp.rm2-17-C,rm2-17,3,No,25-Jun-09,93.38,92.45,8.45,26.88,27.43,141.14,7.73,,,100,23.0,2.93,0.24
Arizona,rm2-17,Samp.rm2-17-D,rm2-17,4,No,29-Jun-09,85.69,82.34,8.26,22.24,26.84,126.89,6.81,,,99,27.0,2.51,0.25
Arizona,rm2-18,Samp.rm2-18-A,rm2-18,1,Yes,21-May-09,80.21,76.45,8.88,17.94,23.30,125.81,,41,221.42,82.68,26.5,2.15,
Arizona,rm2-18,Samp.rm2-18-B,rm2-18,2,No,27-May-09,81.61,84.29,9.63,21.97,29.37,137.94,4.65,41,231.09,98.23,24.0,2.46,
Arizona,rm2-18,Samp.rm2-18-C,rm2-18,3,No,17-Jun-09,80.81,81.41,10.31,23.38,20.11,139.83,3.92,41,269.00,88,24.0,2.45,0.21
Arizona,rm2-18,Samp.rm2-18-D,rm2-18,4,No,18-Jun-09,81.97,81.72,9.33,22.36,19.36,136.10,6.09,38,305.00,59,21.5,2.31,0.19
Arizona,rm2-19,Samp.rm2-19-A,rm2-19,1,Yes,21-May-09,98.80,98.24,9.04,28.37,46.26,135.90,,30,274.40,57.71,25.0,2.88,
Arizona,rm2-20,Samp.rm2-20-A,rm2-20,1,Yes,3-Jun-09,88.05,85.04,8.02,32.53,37.82,128.76,9.08,18,310.00,58.35,32.0,2.33,0.23
Arizona,rm2-20,Samp.rm2-20-B,rm2-20,2,No,25-Jun-09,96.17,95.15,8.96,35.07,40.22,125.78,10.24,,,238,25.0,2.98,0.32
Arizona,rm2-21,Samp.rm2-21-A,rm2-21,1,Yes,27-May-09,88.44,84.82,9.81,23.11,32.22,106.80,6.29,43,264.83,49.19,23.5,2.69,
Arizona,rm2-21,Samp.rm2-21-B,rm2-21,2,No,29-Jun-09,66.49,64.03,6.94,24.44,19.60,103.96,6.38,,,59,31.0,1.86,0.16
Arizona,rm2-23b,Samp.rm2-23-A,rm2-23,1,Yes,4-Jun-09,,,,,,,,,,,,,
Arizona,rm2-23,Samp.rm2-23-B,rm2-23,2,No,4-Jun-09,75.41,75.59,7.77,23.18,21.05,137.51,4.27,33,304.95,,,,
Arizona,rm2-23,Samp.rm2-23-C,rm2-23,3,No,22-Jun-09,91.92,88.82,8.98,28.41,26.14,139.71,10.30,41,327.00,404,21.0,3.07,0.26
Arizona,rm2-23,Samp.rm2-23-D,rm2-23,4,No,24-Jun-09,78.22,77.36,7.37,26.26,27.88,156.34,17.06,,,96,24.0,2.59,0.25
Arizona,rm2-25,Samp.rm2-25-A,rm2-25,1,Yes,18-Jun-09,83.75,81.74,7.29,24.61,26.30,135.81,9.36,23,270.00,22.5,19.0,2.52,0.25
Arizona,rm2-25b,Samp.rm2-25-B,rm2-25,2,No,18-Jun-09,,,,,,,,,,,,,
Arizona,rm2-25-1,Samp.rm2-25-C,rm2-25,3,No,29-Jun-09,74.24,76.28,8.37,31.56,27.68,148.14,19.50,,,101,19.5,2.41,0.21
Arizona,rm2-25-2,Samp.rm2-25-D,rm2-25,4,No,29-Jun-09,78.50,80.39,7.38,31.78,34.75,141.87,13.53,,,76,21.0,2.28,0.20
Arizona,rm2-26,Samp.rm2-26-A,rm2-26,1,Yes,1-Jun-09,77.40,77.22,8.76,25.41,31.16,107.20,11.85,19,267.00,19.42,,2.59,0.23
Arizona,rm2-27-1,Samp.rm2-27-A,rm2-27,1,Yes,18-Jun-09,85.61,82.68,7.63,19.31,23.41,106.81,7.24,80,241.00,47,23.0,2.24,0.21
Arizona,rm2-27-2,Samp.rm2-27-B,rm2-27,2,No,18-Jun-09,84.09,85.75,8.87,20.05,23.91,108.91,6.71,80,241.00,4,23.0,2.28,0.21
Arizona,rm2-28,Samp.rm2-28-A,rm2-28,1,Yes,27-May-09,89.56,88.37,9.32,23.35,34.32,152.21,15.70,40,262.05,40.29,23.5,3.21,
Arizona,rm2-28,Samp.rm2-28-B,rm2-28,2,No,11-Jun-09,93.04,92.00,9.49,34.63,31.16,165.00,7.50,42,274.00,86,26.5,3.63,0.27
Arizona,rm2-28-1,Samp.rm2-28-C,rm2-28,3,No,17-Jun-09,89.35,88.04,9.46,33.03,33.13,148.16,6.23,44,287.00,167,24.5,3.97,0.35
Arizona,rm2-28-2,Samp.rm2-28-D,rm2-28,4,No,17-Jun-09,92.63,96.07,12.89,32.59,27.93,145.60,7.89,44,287.00,184,27.0,3.51,0.32
